year,week,start_date,n_days_in_week,a_weekly,b1_eff,b2_eff,beta_h_fitted,beta_m_fitted,beta_h_climate,beta_m_climate,valid,temp_mean,precip_mean,umid_min_mean,defor_clearcut_4wk,defor_degradation_4wk,defor_burnscar_4wk,defor_total_4wk,fire_counts_4wk,fire_trends_ha,sin_week,cos_week,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
2020,8,2020-02-26,7,0.4336768433179724,0.35595824992933556,0.016101163752892216,0.006982701870100054,0.15437085018234412,0.008341162317088101,0.21672986064455882,True,26.755185714285716,4.6789,71.11621428571428,0.0,0.0,0.0,0.43,0.0,3.0,0.8229838658936564,0.5680647467311559,0,0,0,1,0,0,0
2020,9,2020-03-04,7,0.4868519585253456,0.23704961136521052,0.014037268080265536,0.006834071457222594,0.11540806756082476,0.009363910646883874,0.24330410708225142,True,28.07392857142857,0.8696857142857144,59.641628571428576,0.0,0.0,0.0,0.43,0.0,6.0,0.8854560256532099,0.4647231720437686,0,0,0,1,0,0,0
2020,10,2020-03-11,7,0.47166186635944696,0.3668015428332781,0.013136661957564792,0.0061960624966381555,0.17300630027626857,0.009071750651902567,0.2357128634891979,True,27.697214285714285,2.5562,65.68544285714286,0.0,0.0,0.0,0.0,0.0,6.0,0.9350162426854148,0.35460488704253557,0,0,0,1,0,0,0
2020,11,2020-03-18,7,0.4196854838709677,0.13226557200817007,0.012225568323331115,0.005130893557374794,0.05550994058771918,0.008072058254968229,0.20973768333581116,True,26.408199999999997,9.025685714285714,73.43341428571429,0.0,0.0,0.0,0.0,0.0,6.0,0.970941817426052,0.23931566428755804,0,0,0,1,0,0,0
2020,12,2020-03-25,7,0.4353870967741935,0.3518715292319755,0.010677745840160272,0.004648952761440102,0.1532003235498056,0.008374056629757782,0.21758455925008693,True,26.7976,9.095585714285713,74.90347142857142,0.0,0.0,0.0,0.0,0.0,6.0,0.992708874098054,0.120536680255323,0,0,0,1,0,0,0
2020,13,2020-04-01,7,0.4043312211981567,0.3354254691637078,0.008507656490694383,0.0034399111384168838,0.13562298956792662,0.007776740671872789,0.20206439558560868,True,26.027414285714283,13.852871428571428,77.63942857142857,0.0,0.0,0.0,0.0,0.0,6.0,1.0,-1.6081226496766366e-16,0,0,0,1,0,0,0
2020,14,2020-04-08,7,0.3792142857142857,0.34141833156653256,0.007519263210966141,0.0028514120276442317,0.12947070873476582,0.007293651848923602,0.18951221529027645,True,25.40451428571428,9.5585,80.04267142857142,0.0,0.0,0.0,0.0,0.0,6.0,0.992708874098054,-0.12053668025532288,0,0,0,1,0,0,0
2020,15,2020-04-15,7,0.3879222350230415,0.3499375478814471,0.007837003735122914,0.0030401480048128054,0.13574855569265357,0.007461136970051113,0.19386401011000304,True,25.620471428571427,4.777042857142858,74.03198571428571,0.0,0.0,0.0,0.0,0.0,6.0,0.9709418174260521,-0.2393156642875575,0,0,0,1,0,0,0
2020,16,2020-04-22,7,0.38594470046082957,0.3636483533598767,0.00886624471673951,0.003421880161414443,0.14034815481055152,0.007423101882346493,0.19287573785915155,True,25.571428571428577,8.272928571428572,78.0049,0.0,0.0,0.0,0.0,0.0,6.0,0.9350162426854148,-0.35460488704253545,0,0,0,1,0,0,0
2020,17,2020-04-29,7,0.4011146313364055,0.34935576223330483,0.009424829461314963,0.003780436994783845,0.140131707773461,0.007714874103348873,0.2004569058539587,True,25.94764285714286,11.126514285714284,75.20614285714285,0.0,0.0,0.0,0.0,0.0,6.0,0.8854560256532099,-0.4647231720437685,0,0,0,1,0,0,0
