viewDate,areaMunKm,areaUcKm,uc,uf,municipio,geocod,className
05/07/2024,0.19,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/07/2024,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
19/07/2019,0.17,0,,AM,Manaus,1302603,DESMATAMENTO_CR
31/10/2021,0.12,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/09/2023,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/09/2023,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
30/08/2023,0.24,0,,AM,Manaus,1302603,DESMATAMENTO_CR
30/08/2023,0.29,0,,AM,Manaus,1302603,DESMATAMENTO_CR
30/08/2023,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/08/2019,0.19,0,,AM,Manaus,1302603,DESMATAMENTO_CR
17/07/2019,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/08/2022,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/08/2022,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/08/2022,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
15/08/2020,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/07/2019,0.12,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/07/2019,0.17,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/06/2024,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/06/2024,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/06/2024,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/06/2024,0.12,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/06/2024,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/08/2021,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/02/2020,0.43,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/07/2022,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/07/2022,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/09/2019,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
02/01/2023,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
15/08/2020,0.3,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/02/2021,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/02/2021,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/07/2023,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
15/08/2020,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
09/01/2020,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/10/2024,0.33,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/04/2022,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/04/2022,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
30/09/2019,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
25/12/2019,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
29/11/2016,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
30/01/2024,0.13,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/06/2019,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/06/2019,0.2,0,,AM,Manaus,1302603,DESMATAMENTO_CR
13/04/2023,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
11/07/2023,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
27/07/2017,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
16/10/2016,0.15,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2023,0.03,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2023,0.18,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2023,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2023,0.02,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2023,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
22/02/2024,0.19,0,,AM,Manaus,1302603,DESMATAMENTO_CR
22/02/2024,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
22/02/2024,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
22/05/2023,0.13,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
28/02/2024,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/03/2024,0.04,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/03/2024,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
31/07/2016,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
06/03/2024,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
06/03/2024,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
06/03/2024,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
01/06/2023,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
01/06/2023,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
07/10/2016,0.15,0,,AM,Manaus,1302603,DEGRADACAO
31/08/2018,0.66,0,,AM,Manaus,1302603,DEGRADACAO
18/10/2023,0.43,0,,AM,Manaus,1302603,DEGRADACAO
19/10/2023,0.08,0,,AM,Manaus,1302603,DEGRADACAO
19/10/2023,0.1,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2024,0.09,0,,AM,Manaus,1302603,DEGRADACAO
12/07/2024,0.29,0,,AM,Manaus,1302603,DEGRADACAO
15/07/2024,0.1,0,,AM,Manaus,1302603,DEGRADACAO
29/10/2023,0.09,0,,AM,Manaus,1302603,DEGRADACAO
14/09/2023,0.15,0,,AM,Manaus,1302603,DEGRADACAO
14/09/2023,0.21,0,,AM,Manaus,1302603,DEGRADACAO
14/09/2023,0.16,0,,AM,Manaus,1302603,DEGRADACAO
05/07/2024,0.12,0,,AM,Manaus,1302603,DEGRADACAO
25/08/2023,1.59,0,,AM,Manaus,1302603,DEGRADACAO
25/08/2023,0.55,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,10.45,0,,AM,Manaus,1302603,DEGRADACAO
05/03/2016,0.08,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,0.16,0,,AM,Manaus,1302603,DEGRADACAO
10/08/2022,0.14,0,,AM,Manaus,1302603,DEGRADACAO
30/06/2024,0.08,0,,AM,Manaus,1302603,DEGRADACAO
30/06/2024,0.07,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,125.05,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,0.12,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,0.36,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,0.32,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,3.12,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,70.3,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,198.5,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,14.18,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,0.46,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,0.22,0,,AM,Manaus,1302603,DEGRADACAO
18/10/2024,0.22,0,,AM,Manaus,1302603,DEGRADACAO
02/11/2024,0.07,0,,AM,Manaus,1302603,DEGRADACAO
02/11/2024,0.09,0,,AM,Manaus,1302603,DEGRADACAO
02/11/2024,0.1,0,,AM,Manaus,1302603,DEGRADACAO
04/10/2022,34.32,0,,AM,Manaus,1302603,DEGRADACAO
05/03/2016,0.07,0,,AM,Manaus,1302603,DEGRADACAO
05/03/2016,0.27,0,,AM,Manaus,1302603,DEGRADACAO
08/10/2024,3.5,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
08/10/2024,0.23,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
08/10/2024,0.52,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
02/12/2024,0.07,0.07,PARQUE NACIONAL DE ANAVILHANAS,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
06/03/2024,0.06,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
17/11/2024,0.19,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
05/07/2024,0.23,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
08/07/2024,0.08,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
02/12/2024,1.12,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
02/12/2024,0.26,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
20/07/2024,0.08,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
23/09/2024,0.01,0.01,PARQUE NACIONAL DE ANAVILHANAS,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
23/09/2024,4.22,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
18/09/2024,0.1,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
19/10/2023,0.26,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
18/10/2023,0.24,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
18/10/2023,0.23,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
18/10/2023,0.24,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
09/10/2023,0.78,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
09/10/2023,0.09,0,,AM,Manaus,1302603,CICATRIZ_DE_QUEIMADA
