date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2015-06-14,1302603,201524,23.4768,25.5124,28.2294,0.0056,3.1131,10.5797,24.905,0.9883,0.9904,0.9921,78.6342,90.5479,98.471
2015-06-15,1302603,201524,23.6751,25.7949,28.1933,0.0065,3.4108,9.4838,27.2861,0.9887,0.991,0.9929,76.9241,87.7655,95.5936
2015-06-16,1302603,201524,23.5128,26.468,30.2873,0.0984,1.4184,9.5251,11.3473,0.9881,0.9912,0.9933,61.7018,82.9759,96.525
2015-06-17,1302603,201524,23.1245,26.669,30.2577,0.0033,0.3089,0.6983,2.4712,0.9884,0.9908,0.9926,68.2579,84.5389,97.5229
2015-06-18,1302603,201524,23.9955,25.7955,26.9519,0.0015,4.3454,15.5794,34.7634,0.9899,0.9912,0.9929,83.9191,87.7094,93.77
2015-06-19,1302603,201524,23.4796,25.7322,28.987,0.2827,2.7143,15.811,21.7142,0.9897,0.9926,0.9944,73.1321,87.3646,97.1001
2015-06-20,1302603,201524,22.7829,25.5381,28.9158,0.004,2.1723,4.8336,17.3788,0.9907,0.9924,0.9944,71.1021,87.2643,97.0511
2015-06-21,1302603,201525,22.9333,24.5254,26.9752,0.1113,7.9319,24.8028,63.4555,0.9922,0.9936,0.9957,82.1714,92.3626,97.5348
2015-06-22,1302603,201525,22.8039,24.9586,28.24,0.061,3.9051,26.1347,31.2408,0.9909,0.9935,0.9952,76.4215,89.9478,98.5163
2015-06-23,1302603,201525,23.3209,24.9253,26.7381,0.0274,3.9896,13.0764,31.9167,0.9929,0.9945,0.9966,83.3012,90.5212,94.4642
2015-06-24,1302603,201525,23.0525,25.8321,30.0028,0.1882,1.8513,13.1176,14.8103,0.9924,0.9946,0.9963,69.2188,85.9533,96.4125
2015-06-25,1302603,201525,23.3657,26.4362,29.8518,0.0,0.1619,0.5034,1.2956,0.9917,0.9942,0.9959,59.4001,80.2244,93.8109
2015-06-26,1302603,201525,23.5142,26.4035,29.6366,0.0,0.1269,0.5034,1.015,0.9919,0.9941,0.9958,64.8403,79.2752,89.4218
2015-06-27,1302603,201525,23.6062,24.9767,26.775,1.2203,4.9201,12.0442,39.361,0.9924,0.9949,0.9966,84.7119,89.762,94.3189
2015-06-28,1302603,201526,22.8919,25.6216,29.6053,0.319,2.1874,12.1913,17.499,0.9907,0.9936,0.9955,67.4749,87.1942,97.2833
2015-06-29,1302603,201526,23.578,25.4592,27.7505,0.0008,1.6679,4.8668,13.3432,0.9902,0.9925,0.9941,78.0063,88.5744,96.3889
2015-06-30,1302603,201526,23.1813,25.6632,29.041,0.0001,0.9631,4.952,7.7048,0.9903,0.9923,0.9939,67.9054,86.3076,97.566
2015-07-01,1302603,201526,23.7182,26.3961,29.2734,0.0551,0.8882,2.6675,7.1053,0.9896,0.9924,0.9944,71.0426,83.3584,94.5855
2015-07-02,1302603,201526,23.4161,26.3111,29.3973,0.0016,1.0961,3.2191,8.7685,0.9883,0.9913,0.9932,71.7747,85.3405,96.6822
2015-07-03,1302603,201526,23.574,25.6166,28.9773,1.4666,2.9178,4.975,23.3422,0.989,0.991,0.9929,72.4842,87.4782,96.0355
2015-07-04,1302603,201526,23.5728,25.9713,29.3692,0.1638,1.2255,5.5811,9.8043,0.9876,0.9909,0.9925,72.3274,85.7891,95.8895
2015-07-05,1302603,201527,23.6996,25.9029,29.1537,0.6133,2.6469,4.6695,21.1753,0.9879,0.9912,0.9931,72.7238,86.3659,94.6362
2015-07-06,1302603,201527,23.4551,25.7533,29.2124,0.7912,2.4031,4.9003,19.2251,0.9892,0.9916,0.9932,72.1783,86.1893,94.8442
2015-07-07,1302603,201527,23.3516,25.2711,27.8396,0.0852,1.932,5.1696,15.4562,0.9892,0.9917,0.9934,78.2737,88.143,95.4034
2015-07-08,1302603,201527,23.2875,25.4225,28.3338,0.0033,1.1969,5.1798,9.5754,0.9892,0.9917,0.9934,74.6069,88.1235,96.4339
