year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2022.5003422313484,5792.635704449789,3901.551884995112,86.83296630256355,3444.4565415681327,7746.36129048514,40.74456168116663,7.1075619079642935
2022.5030800821355,5802.061658261417,3901.7440966168188,85.63235244357564,3436.4668899937847,6971.723816252362,40.77545248202941,6.865029762402624
2022.5058179329226,5811.904528984993,3901.7441004068173,84.20514992741177,3428.4791179963736,30818.014604583725,36.69798429475504,6.178533258975896
2022.5085557837099,5821.725520982918,3901.744100590453,82.80173204932349,3420.4894436928926,27736.219449022687,33.028286494669,5.5606803193319445
2022.511293634497,5831.272432034461,3901.7503771244756,81.66761955057049,3412.4982686060844,24962.59729437514,46.07872188624641,5.118415088409788
2022.514031485284,5840.681446545923,3901.7422114670603,80.6828547954149,3404.51008450719,22466.26650798142,62.81732295144739,6.599060573292483
2022.516769336071,5849.786897305427,3901.919248945893,79.81097754440326,3396.527373519866,20219.624126512204,80.61671475527214,9.77128148187684
2022.5195071868584,5859.42938369275,3901.96611946762,78.52489269713931,3388.55200145808,18197.644177428807,72.55509741000304,8.794165709974957
2022.5222450376455,5868.8453408733385,3902.0809636483764,77.39694752706579,3380.577045266811,16377.739001925855,68.299051144024,8.481741038975471
2022.5249828884325,5877.91466153301,3902.260881157788,76.54751545132905,3372.6051391734645,14739.947185921814,71.68388194249832,9.291683685196142
2022.5277207392196,5886.538090425448,3902.562812171698,76.01427994785115,3364.640914770593,13265.904568901864,78.88901328904144,11.699801724438165
2022.530458590007,5895.155389302704,3902.9865031390186,75.3524886271018,3356.689616246766,11939.212640908167,74.33969051033742,17.428803034100003
2022.533196440794,5904.53412994924,3903.1415568747448,74.18712947854263,3348.749081013061,10745.289691245764,66.90571949082724,15.931626686584249
2022.535934291581,5913.026555492335,3903.848771453946,73.3535923174724,3340.8108780518396,9670.75546352998,60.21515434082934,19.621112359884687
2022.5386721423683,5920.232391366459,3905.5868820799215,72.76789396307285,3332.880529906141,8703.659367478791,55.91384016155609,26.27353461734895
2022.5414099931554,5925.668101584751,3908.8037564493948,72.46159543748459,3324.9621438439676,7833.254950832251,53.09162107002657,33.46046087156126
2022.5441478439425,5928.793890652163,3913.6681195454926,72.80113703537914,3317.060350082563,7049.920572416122,51.33711933899593,40.52050293373572
2022.5468856947296,5930.875885133818,3919.420027769263,73.26963763373169,3309.1858467787833,6344.875424949514,49.254231723766985,44.16427665972727
2022.5496235455169,5938.063764060498,3921.280304160247,72.49448870398462,3301.3407403908627,6025.492437346261,44.32885690336383,39.74808376192111
2022.552361396304,5946.812901579246,3921.8438394049176,71.44624623940938,3293.504210092021,5578.559799847765,39.89582039592046,35.773140159992664
2022.555099247091,5954.991863427109,3922.7468919327325,70.62466354542363,3285.6716784103296,5020.6686297497,35.905892158119265,32.19554668585172
2022.557837097878,5961.757508572065,3924.2187568961904,70.6398175755082,3277.846914271829,4518.58991755903,32.38886364994795,29.86749338119537
2022.5605749486654,5966.817658962731,3926.163879871897,71.865522565952,3270.043835915015,4066.7167018339746,30.721286205566262,29.643533464482502
2022.5633127994524,5971.208417151374,3928.1930623854837,73.6347691800116,3262.2825485987255,3660.0214496732196,29.620653860827865,29.647057649365546
2022.5660506502395,5976.010904894091,3929.256495341323,75.90742331371517,3254.5718737664647,3293.8906253593664,28.209750148081817,28.759673125477324
2022.5687885010268,5981.843920413303,3929.153625595334,78.25669382563417,3246.9203574813255,2964.4986237064213,26.237487164705563,26.865089123915496
2022.5715263518139,5988.293954616453,3928.106900854299,80.87272562129631,3239.328916223546,2668.0228582366763,24.110209863980543,24.421622189411707
2022.574264202601,5994.050049922035,3925.5647526708112,85.61371782383813,3231.8018768989114,2401.2001585838952,22.88552901106956,23.282162613278004
2022.577002053388,6003.331878329615,3925.5644865547974,84.18747968694505,3224.374452744243,2161.0620041421744,20.597015020680015,20.953978952400487
2022.5797399041753,6010.95115923902,3924.27724883785,85.71411403944695,3216.943675199287,1944.9529693154723,18.56022360417627,18.858919887018477
2022.5824777549624,6017.972186822492,3922.5374101487005,88.24591160344254,3209.558588740966,1750.4109611228707,17.333522794405205,17.44945355355954
2022.5852156057495,6026.034992935338,3921.656668121315,88.81448579318251,3202.2358504657645,1667.2520507353959,15.600382109697676,15.704390496320523
2022.5879534565365,6033.475202893229,3920.115563510665,90.63631069512023,3194.942820216583,1500.5224973861225,14.652507745061275,14.472551425469085
2022.5906913073238,6040.458250198606,3917.859814372625,93.57966888402069,3187.7000638603454,1350.43927143874,14.190392975777335,13.81460806961328
2022.593429158111,6046.931651326476,3914.9286636692354,97.63913100920455,3180.5262513106827,1215.384699963982,14.119342836139948,13.63119212122037
2022.596167008898,6053.131018159908,3911.9352690992455,101.94764438256472,3173.439665673879,1093.8255127758855,14.124912306312524,13.504305700329514
2022.598904859685,6059.326445174484,3909.3672626929565,105.7445250350936,3166.4432644130643,984.2865990811397,14.047942345985147,13.308485245364162
2022.6016427104723,6065.030575849962,3906.743058808484,110.00529778436312,3159.53046487279,885.8551139881225,14.23650367109909,13.305116749864265
2022.6043805612594,6070.069952980481,3904.137546525823,114.82221388927208,3152.707583920025,797.2636132841751,14.642564363255241,13.579482834115161
2022.6071184120465,6074.907627318753,3902.2311445871123,119.04336403453831,3145.9830613751988,717.4771836657668,14.856369796594754,13.570316023205754
2022.6098562628338,6080.591276629501,3901.1398008338256,121.51405457451168,3139.347965277761,645.7276238090375,14.422344755904106,13.063137150551873
2022.6125941136208,6086.44380232759,3900.3244603938547,123.4805543098923,3132.772180284265,581.1468946720236,13.853019410046883,12.477930262641104
