year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.1423682409309,3201.684719787251,1009.9700926800135,2389.946129754338,1983.3747760698861,11921.476318339133,4316.085329911319,261.4222901050357
2017.145106091718,3207.445524073714,1009.9700926800135,2349.413948870883,2018.5740526668783,10536.190767988925,3814.5526759245445,231.0448006614724
2017.1478439425052,3213.206328360177,1009.9700926800135,2308.881767987428,2053.7733292638704,9150.905217638716,3313.0200219377693,200.66731121790912
2017.1505817932923,3218.9671326466396,1009.9700926800135,2268.349587103973,2088.9726058608626,7765.619667288505,2811.4873679509947,170.28982177434585
2017.1533196440794,3224.7279369331027,1009.9700926800135,2227.817406220518,2124.1718824578543,6380.334116938297,2309.9547139642195,139.9123323307826
2017.1560574948664,3230.571220875629,1009.9700926800135,2187.861681080068,2158.7122236557807,5121.677482474298,1854.2650110583243,112.31151977378805
2017.1587953456537,3236.913400788948,1009.9700926800135,2151.397318662654,2189.2623061598742,15693.870142063557,1668.8384370017623,101.08036337783366
2017.1615331964408,3243.339279570357,1009.9700926800135,2115.5406956714714,2219.1209503696487,14124.484890886573,1501.9545623796657,90.97232516713144
2017.1642710472279,3249.7651584913433,1009.9700926800135,2079.68407369376,2248.979593426374,12555.097876680218,1335.0707186794896,80.86428882934808
2017.167008898015,3256.191037412329,1009.9700926800135,2043.8274517160494,2278.8382364830986,10985.710862473861,1168.1868749793132,70.75625249156471
2017.1697467488023,3262.616916333315,1009.9700926800135,2007.9708297383386,2308.696879539824,9416.323848267506,1001.303031279137,60.64821615378134
2017.1724845995893,3269.042795254301,1009.9700926800135,1972.1142077606278,2338.5555225965486,7846.936834061151,834.4191875789609,50.54017981599798
2017.1752224503764,3275.468674175287,1009.9700926800135,1936.2575857829167,2368.414165653274,6277.549819854795,667.5353438787845,40.43214347821461
2017.1779603011637,3281.894553096273,1009.9700926800135,1900.400963805206,2398.2728087099986,4708.16280564844,500.6515001786084,30.324107140431245
2017.1806981519508,3288.320432017259,1009.9700926800135,1864.544341827495,2428.1314517667233,3138.7757914420836,333.7676564784322,20.216070802647877
2017.1834360027378,3294.7463109382447,1009.9700926800135,1828.6877198497841,2457.9900948234485,1569.388777235728,166.8838127782559,10.10803446486451
2017.186173853525,3301.795048431046,1009.9700926800135,1797.3812966005776,2482.675680579851,4264.3721071079035,127.06514556898794,7.69624596485555
2017.1889117043122,3309.0247993851817,1009.9700926800135,1767.4249399172522,2505.830186309042,6369.246715917824,114.35861773357634,6.926620564099873
2017.1916495550993,3316.3179869966716,1009.9700926800135,1737.967853097772,2528.42198551703,5732.331588425897,102.92274453942989,6.233957815940783
2017.1943874058863,3323.6730669858975,1009.9700926800135,1709.001694191276,2550.4609644342972,5688.734401880037,92.630404814123,5.610558080906374
2017.1971252566734,3331.0885312174955,1009.9700926800135,1680.518332185481,2571.95676220849,6581.675973647096,83.36736340331852,5.049502216523116
2017.1998631074607,3338.5628880637933,1009.9700926800135,1652.5096930217671,2592.9189445259067,12884.832844349026,75.03062648940346,4.544551960129276
2017.2026009582478,3346.0946754767406,1009.9700926800135,1624.9678639406936,2613.356886194032,11596.350726597973,67.52756229737342,4.090096670652498
2017.2053388090349,3353.676374601663,1009.9700926800135,1597.83520100821,2633.3357500015927,10422.751186414931,60.693299106756406,3.676150184635294
2017.208076659822,3361.318893048504,1009.9700926800135,1571.20461394212,2652.7517186208397,13539.00060721597,54.62396861782796,3.308535131147399
2017.2108145106092,3369.014605596117,1009.9700926800135,1545.0178672048098,2671.6706528105374,12185.102773299617,49.16156741903122,2.9776813553427934
2017.2135523613963,3376.7200225971706,1009.9700926800135,1518.91283464655,2690.498168367741,10856.562141482342,43.80143716779384,2.6530220584722146
2017.2162902121834,3384.5191503072324,1009.9700926800135,1493.5976194834009,2708.4421558208246,20949.565820979897,39.42129190812044,2.3877197591729944
2017.2190280629707,3392.3674396267465,1009.9700926516991,1468.7043247534123,2725.915061259613,18854.611914310997,35.47922627488931,2.1489530850553327
2017.2217659137577,3400.1024478036716,1009.6966118392824,1444.6605524124398,2742.925206236081,16969.150720291844,584.3350900877109,59.328796780516214
2017.2245037645448,3398.3942275652976,1018.4990763661863,1421.4313712062726,2759.4880431537217,15272.225269994713,1407.5936473808933,302.449628499201
2017.2272416153319,3386.6674994006225,1037.9071015843099,1398.0476776022751,2775.6183397042687,13744.996892948684,1505.6615797781,342.8746551922638
2017.2299794661192,3394.6995329248293,1037.907395242948,1374.7468597533625,2791.3147303703363,12370.486698778685,1355.0987318967996,308.58820412835894
2017.2327173169062,3384.3108833507463,1056.1421123542987,1352.0636789183764,2806.579743668054,11133.436992446928,1354.71715873919,338.33563343714064
2017.2354551676933,3364.8249603034874,1083.4625442140766,1329.811914712128,2821.424899061783,10020.087307403628,1384.3698752837902,396.4160203270097
2017.2381930184804,3319.50369673721,1136.5173764278775,1308.071816968409,2835.859328157981,9017.879124924048,1485.336218590802,540.5932191047865
2017.2409308692677,3327.701051668575,1136.5173986188286,1286.270617246784,2849.891050757291,18983.22098315018,1336.802750180721,486.53411950131016
2017.2436687200548,3335.9368722945483,1136.5173986188286,1264.83277304914,2863.520974328961,17084.900466947,1203.122451581267,437.8806989686807
2017.2464065708418,3344.1726929815545,1136.5173986188286,1243.3949294283602,2877.150897262735,15186.578368631983,1069.442176563195,389.2272870185497
2017.2491444216291,3352.4085136685608,1136.5173986188286,1221.9570858075806,2890.780820196508,13288.256270316964,935.7619015451228,340.5738750684187
2017.2518822724162,3360.644334355567,1136.5173986188286,1200.5192421868007,2904.410743130282,11389.934172001947,802.0816265270507,291.92046311828767
2017.2546201232033,3368.8801550425733,1136.5173986188286,1179.081398566021,2918.040666064055,9491.612073686929,668.4013515089786,243.26705116815668
2017.2573579739903,3377.1159757295795,1136.5173986188286,1157.6435549452412,2931.6705889978284,7593.289975371912,534.7210764909065,194.61363921802564
2017.2600958247776,3385.351796416586,1136.5173986188286,1136.2057113244616,2945.300511931602,5694.9678770568935,401.04080147283435,145.96022726789465
2017.2628336755647,3393.6588377216713,1136.5173986188286,1115.4493193569672,2958.1777625940113,4158.701197072977,292.85655524747125,106.5861857542491
2017.2655715263518,3402.171502982928,1136.5173986188286,1096.6640408176377,2968.8782758720854,4029.9027704201017,257.48974592967016,93.71430960895789
2017.2683093771388,3410.7333116957807,1136.5173825624388,1078.3863221580555,2979.022101875204,4222.669975490972,231.74071892682744,84.34290625907174
2017.2710472279261,3417.8828822002984,1130.2486453355118,1068.1219873710036,2988.833503384666,3800.4048902002637,208.56664293762032,93.89263752454607
2017.2737850787132,3426.499230065645,1130.2481309192904,1050.3205631279413,2998.4469941786015,4575.124475731021,187.70947979228484,84.50506614506844
2017.2765229295003,3429.916680664057,1113.4254689855215,1054.86325452243,3007.73741411947,4117.621318036749,181.49514552082655,133.19736145291728
2017.2792607802876,3438.3278704177355,1113.085228122432,1037.8795293726862,3017.078090378625,4981.7290145373645,163.3457031676732,119.87802488068661
2017.2819986310747,3442.6459561521674,1107.9027809332679,1030.1397283943975,3026.110152811644,4483.635457536618,166.90308915931925,125.18020848290848
2017.2847364818617,3451.3645680063705,1107.9027801794762,1012.9707337573132,3034.9884363483175,19467.676814663893,150.21278609039214,112.66219294155285
2017.2874743326488,3460.1075039030866,1107.9027801794762,996.0878774282447,3043.5562567806705,17521.57396482909,135.19144468376055,101.39592654811871
2017.290212183436,3468.8647755872985,1107.9027801794762,979.3768666219479,3051.9378959027554,15693.651614673954,121.08749492831308,90.81771979260296
