year,I_H_no_intervention,I_H_with_intervention,E_H_no_intervention,E_H_with_intervention,R_H_no_intervention,R_H_with_intervention,S_H_no_intervention,S_H_with_intervention,S_M_no_intervention,S_M_with_intervention,E_M_no_intervention,E_M_with_intervention,I_M_no_intervention,I_M_with_intervention,difference,reduction_percent
2019.1601642710475,916.477260236244,1050.4465751121195,819.9554603544325,1644.471387581423,7463.380670253443,7162.903934807442,1358.9017025152702,1418.1518012160702,10865.803224185278,11027.658972238964,1061.0808570214626,978.8476883374432,840.9945261040768,812.0388811287562,-133.9693148758755,-14.617854767213942
2019.1629021218343,923.9519786913816,1050.3497516552286,809.1853101521865,1636.3303346796506,7458.208970010459,7160.78735806122,1367.796734505365,1428.9341543209598,9777.693732650629,9924.642865596456,954.8249810277608,880.9407410040643,756.7793749196958,730.8166234836842,-126.39777296384705,-13.680123629679072
2019.1656399726212,1007.1859220407858,1108.626168955088,760.1370824106965,1598.9751843539657,7453.174680702463,7158.674590817376,1339.0732082054458,1410.5535545906291,8799.893209569367,8932.153895349958,958.147844752256,876.8541234026395,908.0369965301468,868.114280101927,-101.44024691430207,-10.071650595429418
2019.1683778234087,1076.7426833385057,1156.48691014858,729.7761577653494,1575.9152298603633,7449.537822831813,7157.531587682432,1303.9421294237238,1387.3236710256815,7919.65031789386,8038.197096299373,976.5618141103724,876.9389019759357,994.617000761427,945.6211117664,-79.74422681007422,-7.406061637941429
2019.171115674196,1158.82763209856,1213.9662598587404,705.4373835793355,1557.962067455776,7447.072641033181,7157.196274950173,1249.0890366483163,1348.5606964523683,7127.594907037108,7234.330614703816,1046.9471788450437,914.0796084143552,1101.6177756406612,1041.570745777016,-55.1386277601805,-4.7581388493755625
2019.1738535249829,1243.1491354165012,1273.257329792427,692.371305719077,1549.402786031685,7445.983301481718,7157.8184942732105,1179.3508507420963,1297.6345886197344,6414.824200806984,6510.747096129945,1147.0233666911722,969.918907057928,1196.014722030053,1125.1466516120993,-30.108194375925905,-2.421929398345158
2019.17659137577,1304.3967489930144,1315.1323172188618,686.4260754536847,1546.7055438972427,7446.301793986613,7159.428673589386,1124.1578749260814,1257.274564011566,5773.306074880197,5859.649314092995,1195.7206965881594,986.3968357278766,1182.295529352954,1108.9475263788784,-10.735568225847373,-0.8230293608240867
2019.1793292265568,1321.3517628631637,1323.1156218481915,681.575740614198,1544.0445398711713,7447.640560718738,7161.732623965053,1111.1423291632943,1250.076213032638,5195.953311187711,5273.679829289656,1113.1406840438124,907.3806419697368,1070.1669603885075,1002.5602655169254,-1.7638589850278095,-0.13348897958903855
2019.1820670773443,1357.4796391227922,1346.0848250694214,671.382436487539,1537.7996610543328,7449.258403691274,7164.163339407704,1084.0178140577902,1231.349073185595,4676.318293883493,4746.299679234458,1094.8778050243957,877.0510762803542,1010.469713724784,944.9214622641838,11.394814053370737,0.8394095738138735
2019.1848049281316,1399.0075198547029,1373.274594579833,660.687223704279,1531.7272623470938,7451.473931883216,7166.969938166607,1051.3975179171948,1207.853003623519,4208.668613541081,4271.627151941008,1101.2846824541682,865.9614316588269,971.700547675384,906.3047813514856,25.732925274869785,1.8393700469560261
2019.1875427789184,1403.5858401307655,1371.9367801017052,656.556670140693,1529.6957008542263,7454.375239182807,7170.222198589971,1048.476343905124,1208.398019171149,3787.76891508288,3844.455072737149,1007.1802441906412,785.4621220087719,874.5432157146232,815.6725474700769,31.649060029060365,2.254871709600018
2019.1902806297055,1391.137286673617,1357.5271692329256,654.828137623947,1528.830345312722,7457.345312469928,7173.443381722684,1060.1112565918963,1220.879702448721,3805.7326559169846,3948.87643481041,906.4589073979452,706.9129919584502,787.0777810896261,734.1010785098624,33.61011744069128,2.4160172948176286
2019.1930184804928,1367.9517161823023,1334.901726687118,654.8281238308784,1528.8303411953734,7460.099852707392,7176.415567379244,1080.9702006388195,1240.960863455316,12805.571904316655,13069.87413860442,815.81293066883,636.2216178375797,708.3699283083694,660.6908928509572,33.04998949518426,2.4160201785060518
